Transaction_Date,Transaction_Time,Customer_ID,Customer_Type,Transaction_Type,Transaction_Amount,Is_Fraudulent
2023-10-26,04:19:10,15153,Standard,Online,183.15,0
2023-12-12,13:42:11,11457,Standard,Online,42.8,0
2023-12-22,15:03:04,39727,Standard,ATM,40.43,0
2023-02-20,13:39:40,4797,Basic,Online,10.73,0
2023-11-09,00:53:54,40282,Standard,Online,30.13,0
2023-05-17,09:51:56,37980,Standard,Online,192.89,0
2023-07-29,01:26:16,7783,Premium,Online,278.37,0
2023-06-01,06:51:05,20956,Basic,Online,127.61,1
2023-02-18,06:16:19,20816,Premium,Online,2186.04,0
2023-07-08,07:48:06,10984,Standard,Online,275.79,0
2023-06-07,16:44:28,25861,Basic,Online,14.45,0
2023-06-24,17:01:53,39000,Standard,Online,36.19,0
2023-12-25,02:31:09,35249,Basic,Online,13.85,0
2023-02-24,17:06:28,45039,Premium,Online,1190.95,1
2023-02-23,14:36:02,40986,Standard,Online,14.09,0
2023-04-06,23:13:31,48917,Basic,Online,10.0,0
2023-01-07,09:06:32,3198,Basic,Online,37.19,0
2023-10-12,17:01:00,24236,Standard,Online,264.79,0
2023-09-18,04:37:29,46960,Standard,Online,10.0,0
2023-12-08,11:23:16,49285,Standard,POS,43.79,1
2023-01-14,08:39:01,42196,Standard,Online,274.58,0
2023-01-04,12:33:22,9996,Premium,POS,649.43,0
2023-01-17,04:24:37,13875,Premium,Online,92.99,0
2023-11-09,05:26:39,31987,Standard,Online,226.65,0
2023-07-09,13:01:59,39709,Standard,Online,74.33,0
2023-10-09,20:10:39,25063,Basic,ATM,24.15,0
2023-06-01,21:21:04,24863,Premium,Online,492.46,0
2023-08-15,19:42:16,25058,Standard,Online,35.78,0
2023-01-17,00:24:42,19023,Standard,Online,73.04,0
2023-08-17,11:43:50,20933,Premium,Online,1769.73,0
2023-01-17,09:56:54,21491,Standard,POS,32.1,0
2023-05-29,16:22:36,3421,Standard,POS,90.27,0
2023-01-26,14:31:09,30711,Basic,Online,41.87,0
2023-09-07,06:13:14,9820,Standard,Online,43.15,0
2023-08-11,19:38:34,38265,Standard,ATM,12.02,0
2023-06-01,02:43:59,14409,Basic,Online,10.0,0
2023-01-04,21:24:12,28345,Standard,Online,11.69,0
2023-11-07,02:41:33,38114,Basic,Online,11.97,0
2023-07-04,15:55:43,11616,Standard,Online,296.25,0
2023-03-06,16:02:44,34933,Premium,POS,1317.03,0
2023-03-14,14:48:56,24895,Premium,POS,5449.48,0
2023-07-17,06:55:45,41970,Basic,POS,21.87,0
2023-12-15,21:52:50,37332,Premium,Online,437.68,0
2023-08-29,02:55:05,16876,Premium,POS,4076.84,0
2023-08-04,02:31:34,8287,Standard,Online,27.53,0
2023-12-23,01:10:40,47007,Premium,Online,619.43,0
2023-09-18,10:58:33,26559,Premium,Online,666.26,0
2023-06-25,17:05:36,10903,Standard,Online,53.53,0
2023-12-15,18:57:02,2591,Standard,Online,227.25,0
2023-10-16,05:23:18,20623,Premium,Online,200.99,0
2023-06-30,09:35:26,3469,Premium,POS,116.38,0
2023-09-06,18:30:22,13713,Premium,Online,143.41,0
2023-07-25,12:28:11,34062,Premium,Online,847.62,0
2023-08-21,16:39:30,8009,Standard,Online,37.74,0
2023-03-15,08:31:33,2435,Standard,POS,85.23,0
2023-07-15,19:31:35,8491,Standard,ATM,44.83,0
2023-04-30,17:49:13,38567,Standard,Online,23.57,0
2023-01-07,10:32:05,32598,Standard,ATM,19.63,0
2023-10-12,03:16:34,7540,Basic,Online,131.78,0
2023-03-16,19:31:01,47766,Standard,ATM,29.27,0
2023-12-23,19:05:18,33196,Basic,Online,10.0,0
2023-01-15,01:34:48,42752,Standard,Online,1117.28,0
2023-05-25,20:07:14,18434,Basic,ATM,10.0,0
2023-06-30,23:59:57,16251,Standard,Online,24.25,0
2023-11-15,21:53:52,36201,Standard,Online,473.96,0
2023-03-13,20:17:29,31015,Standard,POS,193.35,0
2023-04-12,08:07:10,33981,Standard,Online,252.05,0
2023-02-15,14:15:53,30781,Premium,Online,443.08,0
2023-03-18,19:25:21,44201,Basic,Online,10.0,0
2023-05-23,01:41:54,26003,Premium,ATM,4278.23,0
2023-06-27,19:46:58,36198,Premium,POS,828.16,0
2023-11-10,21:25:02,22288,Premium,Online,1070.01,0
2023-01-25,12:50:57,32890,Basic,Online,96.29,0
2023-04-29,20:54:31,25363,Standard,ATM,40.0,0
2023-02-04,21:14:32,31027,Premium,POS,579.62,0
2023-01-24,19:36:03,26963,Standard,Online,171.19,0
2023-09-07,20:33:35,44585,Standard,ATM,1311.31,0
2023-08-31,18:57:53,22116,Premium,ATM,2227.27,0
2023-01-08,03:47:29,47678,Standard,Online,138.71,0
2023-10-20,04:37:44,5648,Premium,POS,1540.51,0
2023-05-10,06:05:16,27616,Standard,POS,10.0,1
2023-06-13,12:22:46,40198,Premium,Online,452.7,0
2023-12-16,08:00:04,49403,Standard,POS,14.05,0
2023-10-11,10:36:46,7116,Standard,ATM,21.8,0
2023-04-18,19:49:13,17001,Premium,Online,5923.69,0
2023-01-01,22:34:05,11724,Basic,Online,11.15,0
2023-06-30,17:23:58,49938,Premium,Online,409.09,0
2023-02-08,23:46:42,4249,Standard,Online,22.66,0
2023-09-21,05:04:46,46141,Premium,ATM,602.73,0
2023-04-24,17:16:25,37487,Basic,ATM,17.14,0
2023-01-01,18:30:15,47733,Standard,ATM,27.99,0
2023-08-08,01:49:05,6704,Basic,POS,17.25,0
2023-11-20,01:37:45,2667,Standard,POS,83.91,0
2023-10-06,18:44:10,4712,Premium,Online,59.32,0
2023-11-12,00:48:31,29144,Standard,Online,10.0,0
2023-04-20,13:09:01,36757,Standard,Online,10.0,0
2023-02-12,15:22:05,17173,Standard,POS,80.44,1
2023-04-17,22:15:46,28764,Basic,Online,16.63,0
2023-02-21,13:26:28,7894,Standard,Online,106.03,0
2023-06-07,17:01:48,44596,Standard,Online,105.64,0
2023-06-08,06:55:48,25489,Premium,POS,113.27,0
2023-09-20,21:00:43,6495,Standard,Online,1158.94,0
2023-09-28,09:23:57,39520,Basic,POS,36.43,0
2023-06-03,04:03:49,40575,Basic,Online,10.24,0
2023-08-30,04:46:48,18633,Standard,Online,76.31,0
2023-10-20,14:34:27,41390,Standard,Online,314.63,0
2023-09-15,02:06:20,29482,Standard,Online,10.0,0
2023-10-07,13:18:03,18625,Standard,POS,26.68,0
2023-06-13,02:08:07,11106,Standard,ATM,108.32,0
2023-11-12,01:59:04,3475,Premium,Online,662.7,0
2023-02-27,02:21:05,6249,Basic,ATM,32.36,0
2023-12-20,22:29:51,33007,Standard,Online,62.34,0
2023-11-07,15:41:29,34400,Basic,Online,29.31,0
2023-05-16,19:02:15,16901,Premium,Online,450.11,0
2023-05-29,19:05:21,27342,Basic,ATM,30.67,0
2023-08-14,13:35:32,6782,Premium,Online,25.68,0
2023-06-03,03:17:54,25837,Basic,Online,33.38,0
2023-04-11,19:41:11,32982,Standard,Online,320.98,0
2023-05-14,02:15:06,30619,Basic,Online,59.36,1
2023-12-13,01:34:17,8373,Basic,ATM,11.23,0
2023-06-13,13:00:45,32055,Standard,Online,69.21,0
2023-01-25,12:52:33,49519,Standard,Online,47.96,0
2023-05-08,12:30:13,29179,Standard,Online,50.27,0
2023-12-15,10:01:59,28286,Premium,Online,292.9,0
2023-09-24,17:30:55,31158,Basic,Online,89.19,0
2023-11-25,13:50:06,32823,Standard,ATM,10.0,0
2023-11-04,19:35:59,38285,Standard,Online,115.73,0
2023-03-03,02:06:26,27715,Standard,Online,90.18,0
2023-03-03,20:53:37,8758,Standard,ATM,33.82,0
2023-03-06,12:20:25,25817,Standard,Online,10.32,0
2023-11-04,22:52:25,11749,Premium,Online,128.59,0
2023-08-20,02:40:28,27035,Basic,Online,26.88,0
2023-05-10,15:28:32,24561,Basic,Online,10.0,0
2023-10-11,10:54:33,29602,Standard,Online,47.06,0
2023-03-10,11:00:22,27724,Premium,Online,1744.5,0
2023-04-19,18:23:34,36479,Premium,Online,127.27,0
2023-07-30,06:50:27,29138,Standard,Online,10.0,0
2023-01-08,09:37:46,14279,Standard,POS,28.85,0
2023-02-18,03:03:13,43600,Standard,Online,127.92,0
2023-09-23,20:35:11,6978,Basic,ATM,64.83,0
2023-08-14,10:09:14,24953,Premium,Online,864.16,0
2023-05-04,17:21:51,3461,Basic,ATM,10.2,0
2023-05-02,22:38:48,38643,Basic,Online,20.03,0
2023-05-29,07:45:39,18030,Premium,Online,2180.26,0
2023-12-14,12:17:01,46268,Standard,POS,25.1,0
2023-03-29,11:12:21,4754,Standard,ATM,13.64,0
2023-01-30,06:43:46,10496,Standard,Online,73.17,0
2023-05-24,07:00:43,26860,Basic,Online,25.66,0
2023-01-10,20:45:38,15042,Premium,Online,300.02,0
2023-03-27,09:25:57,11805,Basic,Online,45.92,0
2023-08-31,22:05:55,24762,Basic,Online,44.6,0
2023-01-20,09:23:53,24705,Standard,Online,10.0,0
2023-01-20,16:54:06,3563,Standard,ATM,173.89,0
2023-07-05,22:51:03,37727,Standard,ATM,18.06,0
2023-11-01,13:18:21,43092,Standard,POS,176.93,0
2023-12-22,18:47:44,30411,Premium,ATM,108.4,0
2023-09-08,14:10:56,34787,Premium,Online,56.43,0
2023-05-28,15:46:26,35501,Basic,ATM,19.05,0
2023-09-16,12:42:48,43845,Basic,Online,10.0,0
2023-02-20,20:18:41,26122,Standard,POS,42.09,0
2023-03-15,04:35:05,27201,Premium,ATM,515.94,0
2023-05-09,23:56:35,43821,Premium,Online,267.38,0
2023-02-05,20:29:23,10067,Premium,Online,90.11,0
2023-08-08,13:55:09,33591,Standard,Online,30.68,0
2023-08-16,23:42:19,41785,Basic,Online,41.02,0
2023-01-07,05:14:17,8927,Standard,Online,40.04,0
2023-05-22,04:57:20,29228,Standard,Online,166.01,0
2023-12-11,20:11:56,7588,Premium,Online,134.04,0
2023-10-16,16:23:33,7171,Standard,Online,20.65,0
2023-01-17,01:05:45,13485,Basic,Online,30.09,0
2023-11-26,01:15:47,13722,Standard,Online,18.9,0
2023-10-21,09:34:50,35622,Standard,Online,63.7,0
2023-08-02,14:55:39,31932,Standard,Online,196.18,0
2023-06-17,16:01:24,23263,Standard,POS,52.76,0
2023-10-06,17:42:18,7852,Basic,Online,489.36,0
2023-10-24,03:36:20,8239,Standard,Online,59.23,0
2023-09-25,01:06:15,7530,Standard,POS,182.3,0
2023-08-08,00:54:07,34380,Standard,POS,218.44,0
2023-10-02,08:11:10,16149,Standard,POS,30.84,0
2023-01-21,12:33:03,34691,Basic,Online,65.85,0
2023-06-03,04:34:27,33220,Premium,POS,23544.96,0
2023-03-01,11:56:10,22953,Basic,Online,18.34,0
2023-10-13,15:20:27,21215,Premium,ATM,10.0,0
2023-02-03,08:50:46,30009,Standard,ATM,10.0,0
2023-05-19,14:26:34,13576,Premium,ATM,1824.58,0
2023-09-05,14:38:05,40112,Standard,POS,185.63,0
2023-05-23,20:34:56,29276,Standard,ATM,24.28,0
2023-02-08,08:34:59,30516,Basic,ATM,10.0,0
2023-05-22,03:52:07,16037,Standard,POS,16.71,0
2023-03-25,16:24:39,24383,Premium,POS,866.69,0
2023-10-02,08:27:19,11412,Basic,ATM,10.0,0
2023-05-01,18:46:51,5493,Premium,Online,337.04,0
2023-06-10,23:51:24,47733,Standard,Online,42.0,0
2023-08-10,08:03:58,9259,Basic,POS,10.0,0
2023-09-12,22:15:28,10277,Standard,Online,11.85,0
2023-03-05,13:49:20,31462,Standard,Online,50.61,0
2023-07-20,08:03:34,10168,Premium,POS,49.4,0
2023-12-09,14:39:11,7581,Standard,ATM,110.64,0
2023-08-20,20:50:37,31483,Standard,ATM,50.37,0
2023-12-14,03:21:11,9770,Standard,POS,386.53,0
2023-03-28,05:05:21,29369,Standard,Online,113.68,0
2023-05-16,18:59:41,25000,Standard,Online,27.8,0
2023-12-06,23:48:12,22180,Premium,Online,12300.23,0
2023-02-12,19:59:32,38465,Standard,Online,30.24,0
2023-08-21,08:23:36,5912,Standard,Online,10.9,0
2023-07-02,08:38:12,23207,Standard,POS,40.58,0
2023-04-18,18:11:07,13743,Standard,Online,24.94,0
2023-10-28,06:27:57,16812,Premium,ATM,350.94,0
2023-11-20,00:35:17,33402,Standard,Online,26.11,0
2023-11-28,18:14:40,6889,Standard,ATM,156.76,1
2023-07-29,18:53:08,41312,Premium,Online,29.93,0
2023-04-27,01:28:37,34154,Standard,Online,52.46,0
2023-11-17,22:44:14,32705,Basic,POS,19.57,0
2023-10-06,23:56:37,35587,Standard,POS,27.0,0
2023-05-02,11:33:31,18858,Standard,Online,44.63,0
2023-01-23,07:10:47,48775,Standard,ATM,131.94,0
2023-06-05,04:06:03,40332,Basic,Online,61.97,0
2023-06-06,09:59:17,3011,Premium,Online,776.38,0
2023-03-05,04:07:33,12951,Premium,POS,3539.83,0
2023-04-23,12:49:04,8069,Premium,Online,346.13,0
2023-12-29,09:50:49,19693,Standard,Online,89.22,0
2023-05-02,04:41:59,9036,Standard,Online,55.54,0
2023-02-28,14:51:16,37575,Standard,Online,65.85,0
2023-11-01,12:33:44,22300,Basic,Online,10.0,0
2023-12-07,13:43:20,9491,Basic,Online,10.0,0
2023-10-07,02:12:46,27762,Premium,ATM,72.98,0
2023-06-01,18:36:38,49980,Premium,POS,2376.27,0
2023-05-27,20:33:10,27421,Standard,POS,94.82,0
2023-07-03,19:40:45,30689,Basic,Online,13.58,0
2023-10-31,11:43:51,30535,Standard,Online,2712.37,0
2023-07-22,18:49:16,31386,Basic,Online,10.0,0
2023-06-24,14:03:06,34132,Standard,POS,12.44,0
2023-03-04,05:02:58,47092,Basic,Online,52.62,0
2023-04-24,21:28:21,22162,Basic,Online,83.59,0
2023-06-18,23:34:55,21536,Standard,POS,314.88,0
2023-10-09,16:39:06,11886,Premium,Online,160.66,1
2023-05-16,04:59:08,12390,Basic,ATM,16.99,1
2023-01-23,08:33:45,49511,Standard,Online,96.0,0
2023-06-22,01:44:18,39010,Basic,ATM,10.0,1
2023-06-11,09:59:15,16717,Premium,Online,36.19,0
2023-10-22,02:07:22,5727,Standard,POS,26.23,0
2023-02-22,06:00:16,16592,Premium,Online,219.27,0
2023-01-31,16:54:22,24071,Standard,Online,10.39,0
2023-02-21,19:31:49,16373,Standard,Online,14.86,0
2023-09-17,12:58:22,6585,Standard,Online,16.13,0
2023-09-05,01:10:40,15027,Standard,Online,106.95,0
2023-08-02,05:16:22,15087,Premium,Online,160.22,0
2023-06-06,10:56:00,6738,Premium,POS,2260.75,0
2023-05-21,18:48:05,49695,Basic,Online,10.34,0
2023-08-06,00:59:26,45760,Standard,Online,102.18,0
2023-01-24,11:10:16,29099,Standard,Online,20.5,0
2023-07-30,11:36:41,46968,Standard,POS,10.0,0
2023-05-26,13:34:43,10083,Basic,Online,20.43,0
2023-04-10,01:15:08,21808,Basic,ATM,44.38,0
2023-08-25,01:08:23,26351,Standard,ATM,76.03,0
2023-05-29,07:53:53,9547,Premium,Online,1813.71,0
2023-02-22,11:46:52,45617,Premium,Online,876.38,0
2023-12-03,03:13:09,18058,Standard,Online,987.46,1
2023-06-20,03:57:59,16193,Standard,Online,139.98,0
2023-06-24,16:39:27,3745,Basic,Online,16.58,0
2023-05-14,06:31:31,18908,Standard,ATM,16.67,0
2023-11-09,11:15:15,48658,Standard,Online,83.68,0
2023-09-21,00:22:24,29151,Standard,Online,137.31,0
2023-07-14,08:28:33,22729,Standard,ATM,16.6,0
2023-04-29,04:55:31,10171,Standard,POS,62.36,0
2023-08-21,16:58:25,8659,Standard,POS,37.71,0
2023-06-30,07:39:03,8006,Standard,Online,154.11,0
2023-02-21,05:23:53,10915,Standard,Online,207.98,0
2023-03-25,19:40:10,36063,Premium,POS,2574.07,0
2023-01-15,20:45:04,45605,Basic,Online,10.0,1
2023-01-06,07:43:44,28882,Standard,Online,343.82,0
2023-02-19,10:30:27,45523,Basic,Online,10.0,0
2023-01-19,22:54:37,31873,Premium,POS,968.34,0
2023-05-05,01:16:42,15122,Standard,POS,30.34,0
2023-12-18,03:46:29,24360,Standard,ATM,68.63,0
2023-08-30,21:28:21,28691,Premium,Online,1020.18,0
2023-06-20,20:23:41,5967,Basic,ATM,11.43,1
2023-04-11,02:43:12,2196,Premium,Online,1231.87,0
2023-06-09,06:48:02,10171,Premium,Online,307.4,0
2023-12-25,13:16:17,46740,Premium,Online,3190.92,0
2023-02-27,12:19:51,33598,Standard,Online,12.26,1
2023-07-12,16:21:33,35540,Premium,Online,843.61,0
2023-03-17,18:18:44,34467,Standard,POS,505.12,0
2023-05-13,20:13:03,44798,Standard,Online,89.2,0
2023-05-27,15:38:45,45525,Premium,Online,55.24,0
2023-07-14,14:23:26,46095,Premium,ATM,106.05,0
2023-10-17,16:22:52,8415,Premium,POS,2988.1,0
2023-06-30,08:56:56,26275,Standard,Online,14.81,0
2023-06-28,21:46:03,13251,Standard,ATM,10.38,0
2023-06-18,04:12:22,36517,Basic,Online,10.84,0
2023-02-16,21:35:38,28127,Standard,Online,34.76,0
2023-09-29,22:30:41,4273,Premium,Online,29.3,0
2023-08-02,16:03:47,23963,Standard,Online,64.05,0
2023-08-29,00:24:50,13067,Basic,Online,14.09,0
2023-07-17,00:46:22,14689,Standard,POS,41.61,0
2023-09-08,08:28:08,22644,Premium,ATM,853.53,0
2023-07-11,00:16:02,10689,Premium,ATM,1564.03,0
2023-12-05,10:51:34,19919,Standard,ATM,40.77,0
2023-06-17,18:52:00,40194,Standard,Online,1822.61,0
2023-05-27,11:15:58,33298,Basic,Online,10.0,0
2023-11-09,04:07:06,42334,Standard,POS,19.45,0
2023-07-29,19:15:07,8291,Premium,Online,64.05,0
2023-04-07,04:56:27,7989,Standard,Online,32.41,0
2023-02-19,15:40:18,22205,Standard,Online,104.51,0
2023-07-01,06:14:22,10741,Standard,ATM,31.79,0
2023-01-29,23:17:09,30240,Premium,Online,722.17,0
2023-03-23,19:40:48,23192,Standard,Online,57.2,0
2023-12-11,02:15:01,6755,Standard,ATM,53.85,0
2023-08-18,19:26:40,47005,Standard,Online,15.18,0
2023-11-18,20:33:21,17194,Standard,Online,565.89,0
2023-04-10,01:28:03,10280,Premium,Online,174.55,0
2023-11-11,21:50:47,48994,Standard,ATM,20.89,0
2023-10-28,03:06:48,1082,Basic,Online,17.43,0
2023-04-16,05:47:37,44664,Standard,ATM,91.56,0
2023-09-28,03:28:58,25473,Basic,Online,14.54,0
2023-02-10,09:49:19,29327,Standard,POS,59.94,1
2023-10-26,15:33:39,11442,Standard,ATM,28.58,0
2023-11-27,15:17:29,27249,Basic,Online,10.0,0
2023-12-24,00:54:55,17986,Standard,Online,51.12,0
2023-03-14,05:42:24,17678,Premium,Online,636.34,0
2023-12-07,01:57:42,6307,Basic,Online,41.33,0
2023-04-17,04:14:27,8697,Basic,Online,13.64,0
2023-09-13,06:42:53,27711,Basic,Online,19.19,0
2023-08-30,00:37:37,14652,Premium,Online,910.56,0
2023-04-19,14:19:18,18186,Basic,Online,10.0,0
2023-10-10,23:41:22,33828,Standard,POS,29.39,0
2023-12-18,04:35:45,39889,Standard,Online,182.48,0
2023-08-01,08:05:50,19978,Standard,Online,76.8,0
2023-11-09,21:08:28,28886,Standard,Online,70.91,0
2023-04-22,22:44:16,45278,Premium,ATM,334.11,0
2023-10-16,16:42:31,8081,Basic,Online,114.97,0
2023-04-25,03:33:08,47313,Standard,Online,45.82,0
2023-06-01,07:42:08,16534,Standard,POS,32.16,0
2023-06-24,09:00:28,26521,Standard,Online,35.49,0
2023-02-17,16:52:28,38158,Premium,ATM,307.44,0
2023-11-21,16:02:06,31009,Standard,Online,51.68,0
2023-04-27,10:31:25,31075,Basic,ATM,10.0,0
2023-11-08,00:28:56,43581,Basic,Online,60.13,0
2023-12-05,18:01:40,30100,Standard,Online,25.77,0
2023-02-26,07:17:50,42153,Premium,POS,1728.43,0
2023-08-08,19:56:48,38548,Standard,Online,10.0,0
2023-01-20,09:28:02,15162,Premium,ATM,2871.13,0
2023-03-01,19:10:57,44626,Basic,Online,45.2,0
2023-09-13,16:08:27,1670,Basic,ATM,10.0,0
2023-09-07,04:47:44,36622,Standard,ATM,42.17,1
2023-07-30,11:28:58,22062,Standard,Online,14.6,0
2023-10-04,03:41:36,23260,Standard,Online,35.8,0
2023-09-26,10:53:15,17999,Standard,Online,35.0,0
2023-10-27,10:14:15,28216,Standard,Online,10.11,0
2023-10-06,17:31:48,17767,Standard,Online,266.09,0
2023-06-22,20:57:45,49908,Standard,POS,156.79,0
2023-07-26,03:31:22,38701,Standard,ATM,17.7,0
2023-06-14,21:05:20,26183,Premium,Online,798.33,0
2023-06-27,15:05:24,3103,Premium,Online,208.68,0
2023-09-15,07:10:32,22372,Premium,Online,4671.71,0
2023-10-26,09:02:44,24386,Premium,Online,87.79,0
2023-07-06,20:50:53,15282,Premium,Online,279.75,0
2023-03-27,05:30:13,34687,Standard,ATM,138.24,0
2023-12-07,09:18:24,33835,Basic,ATM,105.99,0
2023-03-15,10:24:19,49175,Standard,POS,51.14,0
2023-11-11,04:50:20,36595,Standard,POS,128.37,0
2023-06-15,13:10:31,29554,Basic,Online,24.58,1
2023-02-28,08:53:09,1917,Premium,ATM,751.38,0
2023-05-23,07:11:21,10941,Standard,Online,44.04,0
2023-01-20,05:02:27,4255,Basic,POS,10.0,0
2023-08-18,01:35:53,43570,Standard,Online,20.72,0
2023-04-26,22:15:45,14117,Standard,Online,45.66,0
2023-06-04,20:22:23,4327,Basic,POS,32.17,0
2023-04-05,20:29:45,15715,Premium,POS,541.58,0
